species_id,common_name,scientific_name,native_range,bloom_start,bloom_end,sun_needs,soil_type,moisture,pollinators_supported,hardiness_zones,source,source_url,notes
001,Purple Coneflower,Echinacea purpurea,Maryland Piedmont,June,August,full sun,well-drained,medium,"bees, butterflies",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Also a larval host plant
002,Wild Columbine,Aquilegia canadensis,Maryland Piedmont,May,June,part shade,sandy,dry,"bees, butterflies, moths, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Host plant for Columbine Dustywing
003,Swamp Milkweed,Asclepias incarnata,Maryland Piedmont,June,October,full sun,medium,wet,"flies, butterflies, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Host plant for Monarch
004,Butterfly Weed,Asclepias tuberosa,Maryland Piedmont,May,August,full sun,well-drained,dry to medium,"bees, butterflies, flies, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Also known as milkweed; verify native range at county level via BONAP
005,Wild Bergamot,Monarda fistulosa,Maryland Piedmont,July,October,full sun,rich,medium,"bees, butterflies, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Also called bee-balm; host plant
006,Black-eyed Susan,Rudbeckia hirta,Maryland Piedmont,July,October,full sun,well-drained,dry to medium,"bees, beetles, butterflies",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Host plant for Silvery Checkerspot
007,New England Aster,Symphyotrichum spp.,Maryland Piedmont,July,October,full sun,well-drained,medium,"bees, beetles, butterflies",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Genus-level entry; confirm exact species via BONAP for Piedmont
008,Cardinal Flower,Lobelia cardinalis,Maryland Piedmont,July,October,part shade,moist,wet,"bees, butterflies, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,
009,Blazing Star,Liatris spp.,Maryland Piedmont,July,October,full sun,well-drained,medium,"bees, butterflies, hummingbirds",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Genus-level entry; confirm exact species via BONAP
010,Goldenrod,Solidago spp.,Maryland Piedmont,June,October,full sun,well-drained,dry to medium,"bees, beetles, butterflies, flies",3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Host plant; important fall migration food source
011,Eastern Redbud,Cercis canadensis,Maryland Piedmont,April,May,part shade,well-drained,medium,bees,3-8,Pollinator Partnership,https://pollinator.org/PDFs/Guides/EasternBroadleafOceanicrx20FINAL.pdf,Host plant; tree not perennial flower
